city_id,city_name,latitude,longitude,country,region
1,Antananarivo,-18.9137,47.5361,Madagascar,Central
2,Mahajanga,-15.7162,46.3190,Madagascar,North
3,Toamasina,-18.1492,49.4023,Madagascar,East
4,Fianarantsoa,-21.4545,47.0868,Madagascar,South-Central
5,Toliara,-23.3568,43.6667,Madagascar,South
